adduct,n_mer,charge,mass_shift
[M+H+2i-C4H8O2]+,1,1,-85.0384430439
[M-H-C5H10F]-,1,-1,-90.0839299921
[M+H-C7H7NO2]+,1,1,-136.0404020119
[M+H-C6H5ClN2O2]+,1,1,-170.9966786279
[M+H-C10H11NO2]+,1,1,-176.0717021399
[M+H-C3H6O4]+,1,1,-105.0193322199
[M+H-C9H14N2O2]+,1,1,-181.0982512359
[M+H-C5H3NO]+,1,1,-92.0141872639
[M-H-C8H13O3]-,1,-1,-158.0937457281
[M-H-C6H14]-,1,-1,-87.1168269001
[M+H-C8H6F3N]+,1,1,-172.0379573999
[M-H-C4H5N3O]-,1,-1,-112.0505382321
[M+H-C5H7N3O]+,1,1,-124.05163539189999
[M+H+2i-C7H6ClNO2]+,1,1,-167.9947196599
[M+2i-H-C2H4SO4]-,1,-1,-122.9835957501
[M+H-C2H3Cl]+,1,1,-60.985051323899995
[M-H-C17H20O3]-,1,-1,-273.1485209521
[M+H+2i-OH]+,1,1,-13.9887531999
[M-H-C8H18N2O5]-,1,-1,-223.12884812809997
[M+2i-H-C2F2O2]-,1,-1,-92.98720213210001
[M-H-C16H12N4O4]-,1,-1,-325.0931313161
[M-H-C12H18O4]-,1,-1,-227.1277855081
[M-H-C5H10O3]-,1,-1,-119.07027063209999
[M+H-C8H14O]+,1,1,-125.0971886159
[M+H-C7H4ClN3]+,1,1,-164.0020983559
[M+H-C2H4N2O2]+,1,1,-87.0200009159
[M-H-C8H6O4]-,1,-1,-167.0338851241
[M+H-C10H14N2]+,1,1,-161.1084219959
[M+4Na-6H]2-,1,-2,85.9132240878
[M+H-C2H3O]+,1,1,-42.0111132639
[M+H-C26H48O18]+,1,1,-647.2767882439
[M-H-C9H7NO5S]-,1,-1,-242.0117694661
[M-H-C17H27NO4]-,1,-1,-310.2012847961
[M+H-C14H22O4]+,1,1,-253.1445327319
[M+H-C2H3NO3]+,1,1,-88.00401650389999
[M+H-C7H17NO4]+,1,1,-178.1084815719
[M+H-C9H17NO2]+,1,1,-170.1186523319
[M+H-C7H14O5]+,1,1,-177.07684709589998
[M+H-C6H10NO4PS]+,1,1,-221.9995386679
[M+H-C19H38]+,1,1,-265.29007476389995
[M-H-CN2OS]-,1,-1,-88.9804097621
[M+H-C8H6N4]+,1,1,-157.0519697399
[M+H-C5H12]+,1,1,-71.0866239319
[M+H-H7PO6]+,1,1,-132.9907481219
[M-H-C9H8N2O4]-,1,-1,-209.0556831881
[M-H-C26H23NO3S]-,1,-1,-430.14714073810006
[M+H-C6H4ClFO]+,1,1,-144.9861941959
[M+H-C24H44O22]+,1,1,-683.2251465959
[M+H-C24H44O-2H2O]+,1,1,-383.35306957589995
[M+H-C11H12O5]+,1,1,-223.06119703189998
[M-H-C10H10O5]-,1,-1,-211.06009987209998
[M+H-C2H3N3S]+,1,1,-99.99749133389999
[2M-3+H-H2O]+,2,1,-17.0032885479
[M+H-C3H3N3O3]+,1,1,-128.01016450389997
[M+H-C12H14O4]+,1,1,-221.0819324759
